,img_path,source,refer_type,weight,paper_l,paper_w,paper_a,paper_angle,paper_dip,body_l,body_l_j,body_h,body_h_j,forebody_w,hindbody_w,heart_girth,heart_girth_j,waist,legs_d,legs_d_j,chest_waist_d,chest_waist_d_j,trunk_a,trunk_legs_a,chest_waist_a,hexagon_a,hexagon_head_a,hexagon_chest_a,hexagon_back_a,hexagon_ass_a,nose_chest_dr,chest_waist_dr
153,79,picc,A4,49.2,0.297,0.21,0.062369999999999995,1.6389016116085895,0.85,1.26,1.21,0.63,0.66,0.28,0.2,0.29,0.31,0.27,0.53,0.51,0.32,0.32,0.37,0.15,0.09,0.2125,0.0926,0.0466,0.0513,0.022,0.62,0.93
154,121,picc,A4,24.3,0.297,0.21,0.062369999999999995,1.563300215330373,0.95,0.93,0.92,0.48,0.49,0.2,0.16,0.2,0.21,0.2,0.5,0.49,0.35,0.35,0.19,0.1,0.07,0.1277,0.0404,0.0349,0.0363,0.0161,0.47,1.62
155,96,picc,A4,55.15,0.297,0.21,0.062369999999999995,1.5522036713392062,0.85,1.06,1.02,0.49,0.51,0.26,0.19,0.27,0.29,0.25,0.51,0.49,0.34,0.34,0.29,0.14,0.09,0.1771,0.0729,0.0455,0.0423,0.0164,0.53,1.06
156,176,picc,A4,76.0,0.297,0.21,0.062369999999999995,1.5784590120644357,1.05,1.31,1.33,0.68,0.67,0.27,0.26,0.36,0.35,0.31,0.75,0.76,0.49,0.49,0.47,0.27,0.18,0.3074,0.0945,0.0864,0.0793,0.0472,0.45,1.44
157,10241,picc,A4,46.0,0.297,0.21,0.062369999999999995,1.568234856987118,0.98,0.93,0.93,0.42,0.42,0.19,0.17,0.21,0.21,0.24,0.63,0.63,0.44,0.44,0.2,0.13,0.09,0.1567,0.0295,0.0476,0.0554,0.0242,0.33,2.02
158,55,picc,A4,38.45,0.297,0.21,0.062369999999999995,1.536837261453661,0.91,1.03,1.01,0.51,0.52,0.26,0.18,0.25,0.26,0.22,0.49,0.48,0.35,0.35,0.26,0.12,0.09,0.1564,0.0687,0.0435,0.032,0.0121,0.58,1.3
159,14,picc,A4,37.9,0.297,0.21,0.062369999999999995,1.588246896898286,1.04,1.05,1.06,0.47,0.47,0.24,0.21,0.27,0.26,0.24,0.6,0.61,0.38,0.38,0.28,0.16,0.1,0.1906,0.0544,0.0522,0.0537,0.0303,0.4,1.48
160,43,picc,A4,83.8,0.297,0.21,0.062369999999999995,1.5131242435200618,0.83,1.12,1.07,0.51,0.53,0.24,0.15,0.31,0.34,0.3,0.62,0.59,0.4,0.4,0.35,0.19,0.12,0.2206,0.0846,0.0616,0.0554,0.0191,0.51,1.06
161,15,picc,A4,57.8,0.297,0.21,0.062369999999999995,1.573087071686663,0.76,1.18,1.1,0.48,0.51,0.23,0.15,0.25,0.29,0.26,0.7,0.65,0.5,0.5,0.3,0.18,0.12,0.1948,0.0605,0.0631,0.0524,0.0188,0.44,1.54
162,177,picc,A4,28.3,0.297,0.21,0.062369999999999995,1.5471585448826668,1.1,0.79,0.81,0.45,0.44,0.18,0.19,0.22,0.21,0.21,0.51,0.52,0.36,0.36,0.17,0.11,0.08,0.1283,0.0321,0.039,0.0419,0.0152,0.41,1.82
163,78,picc,A4,31.05,0.297,0.21,0.062369999999999995,1.587550130652464,1.0,0.89,0.89,0.4,0.4,0.22,0.18,0.23,0.23,0.21,0.51,0.51,0.35,0.35,0.2,0.12,0.08,0.1398,0.0405,0.0405,0.0457,0.013,0.43,1.5
164,120,picc,A4,100.0,0.297,0.21,0.062369999999999995,1.4791001705350335,1.04,1.31,1.32,0.7,0.69,0.39,0.29,0.37,0.36,0.34,0.56,0.57,0.36,0.36,0.48,0.21,0.13,0.3099,0.1193,0.067,0.0813,0.0423,0.51,1.0
165,136,picc,A4,56.3,0.297,0.21,0.062369999999999995,1.5876077576143495,1.06,0.92,0.93,0.56,0.55,0.21,0.16,0.29,0.28,0.25,0.54,0.55,0.38,0.38,0.27,0.16,0.11,0.1823,0.0601,0.0561,0.048,0.0181,0.51,1.39
166,10201,picc,A4,38.0,0.297,0.21,0.062369999999999995,1.5661281124464788,1.03,0.95,0.96,0.48,0.48,0.22,0.17,0.27,0.27,0.25,0.56,0.56,0.31,0.31,0.26,0.15,0.08,0.173,0.0503,0.0415,0.0551,0.0262,0.41,1.19
167,81,picc,A4,77.75,0.297,0.21,0.062369999999999995,1.6006310719366417,0.86,1.23,1.18,0.51,0.53,0.27,0.17,0.29,0.31,0.27,0.64,0.62,0.36,0.36,0.36,0.19,0.1,0.2188,0.0922,0.0525,0.0502,0.024,0.53,1.07
169,161,picc,A4,100.0,0.297,0.21,0.062369999999999995,1.6327325113457005,0.94,1.27,1.25,0.67,0.68,0.35,0.18,0.37,0.38,0.32,0.69,0.68,0.45,0.45,0.47,0.26,0.17,0.2951,0.11,0.083,0.0823,0.0198,0.58,1.16
171,10221,picc,A4,37.0,0.297,0.21,0.062369999999999995,1.5599410418657258,0.93,0.9,0.88,0.4,0.41,0.18,0.16,0.22,0.23,0.25,0.57,0.56,0.31,0.31,0.2,0.13,0.07,0.1376,0.0358,0.034,0.0483,0.0194,0.41,1.34
172,19,picc,A4,39.55,0.297,0.21,0.062369999999999995,1.5584784676084256,0.98,0.95,0.95,0.52,0.52,0.25,0.18,0.26,0.26,0.22,0.43,0.43,0.27,0.27,0.25,0.11,0.07,0.1561,0.0651,0.0351,0.04,0.0159,0.55,1.0
173,141,picc,A4,100.0,0.297,0.21,0.062369999999999995,1.6451851232587218,1.09,1.28,1.31,0.47,0.46,0.3,0.27,0.35,0.34,0.28,0.74,0.76,0.6,0.6,0.45,0.26,0.21,0.3091,0.0805,0.1036,0.0968,0.0282,0.41,1.88
174,157,picc,A4,62.55,0.297,0.21,0.062369999999999995,1.5824916999605854,0.82,1.23,1.17,0.6,0.63,0.27,0.18,0.31,0.34,0.33,0.56,0.53,0.28,0.28,0.38,0.17,0.09,0.2254,0.1053,0.0414,0.0582,0.0204,0.62,0.76
